			tree	tree	kappa	kappa	p	p	q	q	p_k1	p_k1	p_k2	p_k2	p_k3	p_k3	p_k4	p_k4	p_k5	p_k5	p_k6	p_k6	p_k7	p_k7	p_k8	p_k8	p_k9	p_k9	p_k10	p_k10	w_k1	w_k1	w_k2	w_k2	w_k3	w_k3	w_k4	w_k4	w_k5	w_k5	w_k6	w_k6	w_k7	w_k7	w_k8	w_k8	w_k9	w_k9	w_k10	w_k10
TNFAIP3	8.0	mix_5	18.913	(18.061, 19.812)	3.421	(3.164, 3.63)	3.611	(2.98, 4.43)	1.341	(1.023, 1.737)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.381	(0.342, 0.42)	0.526	(0.491, 0.561)	0.613	(0.583, 0.647)	0.681	(0.649, 0.714)	0.737	(0.704, 0.774)	0.787	(0.752, 0.824)	0.833	(0.798, 0.87)	0.877	(0.843, 0.911)	0.92	(0.89, 0.948)	0.966	(0.945, 0.983)
WDR91	1.0	mix_1	8.321	(7.892, 8.706)	3.705	(3.371, 4.037)	4.063	(2.973, 5.773)	16.111	(11.357, 23.534)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.076	(0.062, 0.093)	0.111	(0.097, 0.127)	0.136	(0.123, 0.151)	0.159	(0.145, 0.171)	0.18	(0.167, 0.192)	0.203	(0.189, 0.215)	0.227	(0.212, 0.243)	0.256	(0.238, 0.274)	0.295	(0.269, 0.319)	0.363	(0.322, 0.402)
WDR91	1.0	mix_2	12.269	(11.642, 12.859)	3.7	(3.395, 4.084)	21.406	(9.184, 64.258)	21.585	(8.559, 66.903)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.362	(0.307, 0.421)	0.412	(0.369, 0.45)	0.442	(0.406, 0.469)	0.467	(0.44, 0.489)	0.489	(0.466, 0.51)	0.51	(0.487, 0.534)	0.532	(0.504, 0.563)	0.557	(0.518, 0.595)	0.587	(0.535, 0.636)	0.637	(0.56, 0.707)
WDR91	1.0	mix_3	15.982	(15.181, 16.909)	3.71	(3.299, 4.088)	24.466	(0.041, 99.0)	6.259	(0.005, 27.091)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.622	(0.0, 0.742)	0.712	(0.576, 1.0)	0.753	(0.699, 1.0)	0.778	(0.734, 1.0)	0.806	(0.756, 1.0)	0.834	(0.776, 1.0)	0.856	(0.791, 1.0)	0.875	(0.803, 1.0)	0.896	(0.817, 1.0)	0.924	(0.838, 1.0)
WDR91	1.0	mix_4	11.823	(11.193, 12.36)	3.748	(3.515, 4.079)	2.056	(1.739, 2.442)	2.322	(1.864, 2.807)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.126	(0.108, 0.148)	0.226	(0.208, 0.248)	0.302	(0.279, 0.321)	0.37	(0.345, 0.391)	0.434	(0.407, 0.457)	0.497	(0.467, 0.523)	0.563	(0.531, 0.591)	0.634	(0.599, 0.666)	0.716	(0.678, 0.753)	0.831	(0.795, 0.868)
WDR91	1.0	mix_5	14.83	(14.122, 15.551)	3.63	(3.33, 3.926)	5.059	(3.769, 7.381)	2.243	(1.569, 3.444)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.398	(0.359, 0.451)	0.516	(0.48, 0.558)	0.587	(0.55, 0.62)	0.643	(0.605, 0.675)	0.69	(0.654, 0.72)	0.734	(0.699, 0.767)	0.776	(0.743, 0.811)	0.819	(0.783, 0.855)	0.865	(0.827, 0.902)	0.923	(0.885, 0.954)
WDR91	2.0	mix_1	9.068	(8.533, 9.54)	4.073	(3.67, 4.563)	3.843	(2.769, 5.365)	15.026	(11.036, 21.318)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.074	(0.057, 0.089)	0.11	(0.093, 0.123)	0.136	(0.12, 0.148)	0.159	(0.144, 0.171)	0.182	(0.166, 0.194)	0.205	(0.19, 0.218)	0.23	(0.216, 0.246)	0.261	(0.242, 0.278)	0.3	(0.278, 0.322)	0.371	(0.336, 0.404)
WDR91	2.0	mix_2	13.345	(12.628, 14.086)	4.061	(3.704, 4.512)	13.937	(8.106, 28.248)	13.783	(7.918, 28.505)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.343	(0.308, 0.394)	0.401	(0.372, 0.435)	0.437	(0.411, 0.465)	0.466	(0.444, 0.49)	0.492	(0.469, 0.515)	0.517	(0.492, 0.543)	0.543	(0.515, 0.573)	0.571	(0.537, 0.608)	0.607	(0.564, 0.65)	0.664	(0.603, 0.717)
WDR91	2.0	mix_3	17.617	(16.671, 18.596)	4.025	(3.611, 4.378)	10.036	(0.123, 23.095)	2.477	(0.006, 6.134)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.594	(0.523, 0.678)	0.706	(0.638, 1.0)	0.754	(0.697, 1.0)	0.79	(0.736, 1.0)	0.82	(0.766, 1.0)	0.846	(0.792, 1.0)	0.871	(0.815, 1.0)	0.895	(0.84, 1.0)	0.921	(0.868, 1.0)	0.953	(0.9, 1.0)
WDR91	2.0	mix_4	12.858	(12.118, 13.464)	4.037	(3.785, 4.4)	1.986	(1.737, 2.296)	2.196	(1.842, 2.698)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.124	(0.104, 0.144)	0.226	(0.202, 0.248)	0.304	(0.278, 0.325)	0.373	(0.347, 0.396)	0.439	(0.41, 0.465)	0.504	(0.474, 0.533)	0.571	(0.536, 0.602)	0.643	(0.602, 0.677)	0.727	(0.682, 0.762)	0.841	(0.798, 0.874)
WDR91	2.0	mix_5	16.087	(15.326, 16.888)	3.972	(3.69, 4.283)	4.425	(3.168, 5.838)	1.883	(1.255, 2.591)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.385	(0.334, 0.43)	0.514	(0.48, 0.543)	0.596	(0.563, 0.623)	0.655	(0.622, 0.689)	0.705	(0.671, 0.746)	0.751	(0.715, 0.794)	0.795	(0.755, 0.837)	0.838	(0.798, 0.881)	0.883	(0.844, 0.923)	0.939	(0.906, 0.969)
WDR91	4.0	mix_1	9.6	(9.125, 10.104)	4.251	(3.828, 4.737)	3.122	(2.326, 4.321)	11.559	(8.322, 16.278)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.067	(0.054, 0.083)	0.106	(0.092, 0.121)	0.135	(0.122, 0.149)	0.161	(0.147, 0.174)	0.186	(0.173, 0.199)	0.213	(0.199, 0.226)	0.243	(0.224, 0.258)	0.277	(0.255, 0.296)	0.324	(0.297, 0.352)	0.406	(0.367, 0.446)
WDR91	4.0	mix_2	14.245	(13.37, 15.015)	4.302	(3.839, 4.837)	7.788	(5.793, 11.204)	7.221	(5.147, 10.908)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.31	(0.282, 0.345)	0.384	(0.358, 0.41)	0.431	(0.407, 0.454)	0.469	(0.446, 0.489)	0.504	(0.48, 0.524)	0.537	(0.512, 0.563)	0.572	(0.544, 0.601)	0.609	(0.577, 0.641)	0.655	(0.616, 0.69)	0.727	(0.677, 0.768)
WDR91	4.0	mix_3	18.459	(17.48, 19.755)	4.221	(3.915, 4.608)	5.428	(0.11, 8.955)	1.254	(0.007, 2.312)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.53	(0.462, 0.608)	0.669	(0.62, 1.0)	0.734	(0.694, 1.0)	0.782	(0.745, 1.0)	0.834	(0.786, 1.0)	0.872	(0.821, 1.0)	0.901	(0.852, 1.0)	0.928	(0.882, 1.0)	0.953	(0.911, 1.0)	0.98	(0.95, 1.0)
WDR91	4.0	mix_4	13.7	(12.991, 14.387)	4.275	(3.933, 4.643)	1.827	(1.587, 2.082)	1.912	(1.534, 2.353)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.119	(0.103, 0.136)	0.225	(0.207, 0.247)	0.308	(0.288, 0.334)	0.382	(0.358, 0.413)	0.453	(0.421, 0.487)	0.522	(0.484, 0.56)	0.593	(0.551, 0.635)	0.669	(0.624, 0.712)	0.754	(0.709, 0.798)	0.867	(0.825, 0.904)
WDR91	4.0	mix_5	17.13	(16.29, 18.051)	4.195	(3.902, 4.501)	3.671	(2.93, 4.726)	1.516	(1.138, 1.978)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.364	(0.329, 0.406)	0.503	(0.469, 0.532)	0.589	(0.55, 0.618)	0.655	(0.615, 0.687)	0.712	(0.67, 0.746)	0.762	(0.721, 0.796)	0.81	(0.769, 0.843)	0.855	(0.818, 0.887)	0.902	(0.869, 0.93)	0.955	(0.931, 0.974)
WDR91	8.0	mix_1	9.524	(9.042, 10.122)	4.238	(3.876, 4.612)	2.595	(2.117, 3.346)	8.565	(6.929, 11.195)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.064	(0.051, 0.08)	0.107	(0.093, 0.124)	0.14	(0.126, 0.157)	0.17	(0.156, 0.185)	0.201	(0.185, 0.215)	0.232	(0.215, 0.248)	0.267	(0.248, 0.285)	0.309	(0.286, 0.328)	0.363	(0.334, 0.388)	0.459	(0.42, 0.494)
WDR91	8.0	mix_2	14.39	(13.637, 15.084)	4.309	(3.932, 4.773)	5.938	(4.41, 8.125)	5.027	(3.516, 7.073)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.298	(0.272, 0.334)	0.385	(0.363, 0.414)	0.44	(0.418, 0.466)	0.485	(0.462, 0.51)	0.526	(0.503, 0.551)	0.565	(0.54, 0.592)	0.604	(0.578, 0.636)	0.648	(0.618, 0.684)	0.699	(0.664, 0.74)	0.777	(0.734, 0.823)
WDR91	8.0	mix_3	18.826	(17.897, 19.784)	4.241	(3.897, 4.688)	4.441	(1.351, 6.51)	0.945	(0.231, 1.557)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.518	(0.459, 0.585)	0.667	(0.611, 0.726)	0.749	(0.693, 0.802)	0.809	(0.764, 0.937)	0.852	(0.808, 0.957)	0.888	(0.842, 0.972)	0.918	(0.873, 0.983)	0.945	(0.905, 0.992)	0.968	(0.937, 0.997)	0.989	(0.97, 1.0)
WDR91	8.0	mix_4	13.832	(13.018, 14.673)	4.293	(3.981, 4.646)	1.703	(1.519, 1.949)	1.64	(1.362, 1.929)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.117	(0.1, 0.138)	0.231	(0.21, 0.254)	0.32	(0.296, 0.346)	0.4	(0.373, 0.432)	0.476	(0.445, 0.513)	0.55	(0.518, 0.592)	0.624	(0.593, 0.672)	0.703	(0.67, 0.75)	0.788	(0.754, 0.832)	0.895	(0.868, 0.926)
WDR91	8.0	mix_5	17.31	(16.445, 18.619)	4.212	(3.863, 4.504)	3.258	(2.605, 4.201)	1.207	(0.888, 1.674)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.363	(0.318, 0.412)	0.516	(0.479, 0.558)	0.609	(0.579, 0.65)	0.681	(0.649, 0.725)	0.741	(0.706, 0.787)	0.793	(0.757, 0.84)	0.841	(0.802, 0.885)	0.885	(0.846, 0.925)	0.928	(0.892, 0.959)	0.972	(0.948, 0.988)
